Login,Open Time,Type,Symbol,Volume
129379,2023.07.20 05:48:05,buy,xauusd,0.121173143
129379,2023.07.20 06:00:48,buy,xauusd,0.121173143
129379,2023.07.20 07:02:19,buy,xauusd,0.121173143
129379,2023.07.20 07:30:17,buy,xauusd,0.121173143
901204,2023.07.20 07:35:37,buy,xauusd,0.220883416
901204,2023.07.20 07:36:42,buy,xauusd,0.110441708
901204,2023.07.20 07:39:15,buy,xauusd,0.110441708
901204,2023.07.20 07:43:14,buy,xauusd,0.110441708
743684,2023.07.20 07:50:22,buy,xauusd,0.092321383
923484,2023.07.20 08:01:14,buy,xauusd,0.123689402
464233,2023.07.20 09:01:23,buy,xauusd,0.12162924
217765,2023.07.20 09:25:35,buy,xauusd,0.115745986
129379,2023.07.20 10:25:15,buy,xauusd,0.121173143
465628,2023.07.20 10:54:52,buy,xauusd,0.086715004
431832,2023.07.20 11:04:22,buy,xauusd,0.081453487
328794,2023.07.20 11:26:34,buy,xauusd,0.26899494
564387,2023.07.20 12:22:10,buy,xauusd,0.120565503
417598,2023.07.20 12:54:27,buy,xauusd,0.11437279
417598,2023.07.20 12:59:34,buy,xauusd,0.11437279
417598,2023.07.20 13:38:56,buy,xauusd,0.11437279
901204,2023.07.20 14:15:53,buy,xauusd,0.220883416
511920,2023.07.20 14:21:35,buy,xauusd,0.110370777
901204,2023.07.20 14:22:36,buy,xauusd,0.110441708
671156,2023.07.20 14:23:37,buy,xauusd,0.119671753
891671,2023.07.20 14:31:44,buy,xauusd,0.156667279
379985,2023.07.20 14:33:39,buy,xauusd,0.117190067
379985,2023.07.20 14:38:52,buy,xauusd,0.117190067
379985,2023.07.20 14:40:21,buy,xauusd,0.117190067
379985,2023.07.20 14:40:36,buy,xauusd,0.117190067
465628,2023.07.20 14:42:41,buy,xauusd,0.086715004
809100,2023.07.20 15:41:22,buy,xauusd,0.095689474
465628,2023.07.20 15:41:55,buy,xauusd,0.086715004
107693,2023.07.20 16:22:22,sell,xauusd,0.524003673
498467,2023.07.20 16:26:45,buy,xauusd,0.123978347
809100,2023.07.20 16:55:31,buy,xauusd,0.095689474
834820,2023.05.12 09:12:00,buy,xauusd,0.107285539
809100,2023.07.24 15:32:53,buy,xauusd,0.095689474
809100,2023.07.24 16:05:09,buy,xauusd,0.095689474
498467,2023.07.27 14:30:08,buy,xauusd,0.123978347
561601,2023.07.25 09:09:32,buy,xauusd,0.086920074
809100,2023.07.26 07:04:53,buy,xauusd,0.095689474
809100,2023.07.26 13:03:56,buy,xauusd,0.095689474
809100,2023.07.26 14:54:02,buy,xauusd,0.095689474
912903,2023.07.26 15:22:55,buy,xauusd,1.108308939
809100,2023.07.26 20:03:44,buy,xauusd,0.095689474
913435,2023.07.26 21:36:46,sell,xauusd,0.602809058
566996,2023.07.26 21:57:04,sell,xauusd,0.508638454
809100,2023.07.26 21:57:38,buy,xauusd,0.095689474
961796,2023.07.27 11:51:20,buy,xauusd,0.116998108
809100,2023.07.27 05:45:06,buy,xauusd,0.095689474
901204,2023.07.27 05:49:06,buy,xauusd,0.110441708
912903,2023.07.27 06:21:28,buy,xauusd,1.108308939
901204,2023.07.27 07:08:41,buy,xauusd,0.110441708
901204,2023.07.27 07:31:07,buy,xauusd,0.110441708
901204,2023.07.27 08:24:17,buy,xauusd,0.110441708
129379,2023.07.27 09:40:55,buy,xauusd,0.605865713
129379,2023.07.27 09:43:43,buy,xauusd,0.605865713
975490,2023.07.27 09:51:01,buy,xauusd,0.106137096
881672,2023.07.27 10:02:35,buy,xauusd,0.117334947
901204,2023.07.27 10:26:12,buy,xauusd,0.110441708
431832,2023.07.27 10:27:09,buy,xauusd,0.081453487
824510,2022.12.07 17:02:27,sell,xauusd,0.549009381
824510,2022.12.14 18:19:10,buy,xauusd,0.549009381
857852,2023.07.27 10:36:38,buy,xauusd,0.096568686
901204,2023.07.27 10:52:14,buy,xauusd,0.110441708
233748,2023.07.27 10:52:49,buy,xauusd,0.080456085
129379,2023.07.27 10:52:55,buy,xauusd,0.121173143
901204,2023.07.27 11:02:00,buy,xauusd,0.110441708
919310,2023.07.27 11:16:55,buy,xauusd,0.218301001
881672,2023.07.27 11:18:34,buy,xauusd,0.117334947
857852,2023.07.27 11:28:32,buy,xauusd,0.096568686
417598,2023.07.27 11:33:02,buy,xauusd,0.11437279
670225,2023.07.27 13:58:30,buy,xauusd,0.118817123
670225,2023.07.27 14:30:15,buy,xauusd,0.118817123
323715,2023.07.27 12:06:36,buy,xauusd,0.080328317
511920,2023.07.27 13:15:38,buy,xauusd,0.110370777
342002,2023.07.27 14:07:39,buy,xauusd,0.099156251
921468,2023.07.27 14:08:00,buy,xauusd,0.080510225
222288,2023.07.27 14:09:19,buy,xauusd,0.078634883
417598,2023.07.27 14:30:12,buy,xauusd,0.11437279
901204,2023.07.27 14:32:19,buy,xauusd,0.110441708
464233,2023.07.27 14:41:56,buy,xauusd,0.12162924
196182,2023.07.27 15:36:44,buy,xauusd,0.431422731
901204,2023.07.27 14:45:15,buy,xauusd,0.110441708
498467,2023.07.27 15:38:01,buy,xauusd,0.123978347
291276,2023.07.27 15:44:18,buy,xauusd,0.223343487
813562,2023.07.28 03:00:16,sell,xauusd,0.077536754
464233,2023.07.28 14:42:24,buy,xauusd,0.12162924
813562,2023.07.28 14:49:49,buy,xauusd,0.077536754
305017,2023.07.28 16:40:22,sell,xauusd,0.11995565
206036,2023.08.02 16:30:29,buy,xauusd,0.083761017
186484,2023.08.01 04:10:35,buy,xauusd,0.120848337
911288,2023.07.31 11:42:54,buy,xauusd,0.096983788
173228,2023.07.27 11:16:31,buy,xauusd,0.116179381
223662,2023.07.31 15:52:48,buy,xauusd,0.119963872
671156,2023.07.31 16:10:33,buy,xauusd,0.119671753
992559,2023.07.31 16:44:55,buy,xauusd,0.123840096
122204,2023.08.01 04:10:35,buy,xauusd,1.079406705
561601,2023.07.31 16:51:14,buy,xauusd,0.086920074
506751,2023.07.31 17:35:03,buy,xauusd,0.095732842
881672,2023.07.31 17:44:32,buy,xauusd,0.117334947
511920,2023.07.31 18:16:20,buy,xauusd,0.110370777
919310,2023.07.31 18:39:30,buy,xauusd,0.218301001
129379,2023.07.31 19:53:21,buy,xauusd,0.121173143
254026,2023.08.01 01:06:12,buy,xauusd,0.108249337
575609,2023.08.01 02:27:17,buy,xauusd,0.1021779
695295,2023.08.01 01:18:58,buy,xauusd,0.10735328
992559,2023.08.01 01:49:50,buy,xauusd,0.123840096
730570,2023.08.01 01:52:16,buy,xauusd,0.097287257
831069,2023.08.01 04:01:03,buy,xauusd,0.118977113
992559,2023.08.01 02:08:10,buy,xauusd,0.123840096
129379,2023.08.01 02:10:18,buy,xauusd,0.121173143
564387,2023.08.01 02:20:43,buy,xauusd,0.120565503
901204,2023.08.01 02:35:54,buy,xauusd,0.110441708
472083,2023.08.01 02:54:52,buy,xauusd,0.094398818
702000,2023.08.01 03:18:08,buy,xauusd,0.096972261
323715,2023.08.01 03:22:06,buy,xauusd,0.080328317
702000,2023.08.01 03:24:31,buy,xauusd,0.096972261
175434,2023.08.01 03:43:58,buy,xauusd,0.517711539
702000,2023.08.01 03:47:35,buy,xauusd,0.096972261
